SN,TITLE,CONTENT_lick,DATE
193620.0,CCTV 기반 주차면 단위 실시간 주차정보 제공 요청,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193620,2022-11-30 10:15:40.0
193619.0,천만 대로 문,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193619,2022-11-30 09:41:17.0
193618.0,서울역 앞 도로가 너무 복잡합니다. 운전자가 볼 수 있도록 이정표를 많이 설치해주세요.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193618,2022-11-30 08:40:36.0
193617.0,교차로 주변 횡단보도 없애서 우회전 차량으로 인한 교통사고 예방합시다!!,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193617,2022-11-29 13:37:33.0
193616.0,아동학대 피해 가출 청소년 쉼터 제공,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193616,2022-11-29 12:22:42.0
193615.0,우신운수에서 서리풀 터널을 경유~고속터미널까지 운행 해야 합니다,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193615,2022-11-28 23:44:20.0
193614.0,경부고속도 상행 양재들목 개선,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193614,2022-11-28 22:41:29.0
193613.0,서울좋아여,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193613,2022-11-28 18:01:51.0
193612.0,난지캠핑장 예약운영방안 합리화요청,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193612,2022-11-28 16:56:47.0
193611.0,남산순환버스 개선,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193611,2022-11-28 11:33:58.0
193609.0,부동산 사기 주의 안전안내문자 발송 건의,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193609,2022-11-27 20:32:27.0
193608.0,"거리의 무법자 오토바이 특별 단속하자,,,,,,,,,,,,,,,,,,,,,,,,,,,,",https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193608,2022-11-27 18:41:21.0
193607.0,강북강변로 명칭을 월드컵대로로 변경 건의,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193607,2022-11-27 12:28:02.0
193606.0,맨허탄 타임스퀘어 맨날 시위? 서울의 얼굴 시위 제한,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193606,2022-11-26 14:39:04.0
193605.0,집회 알림 문자,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193605,2022-11-25 10:48:27.0
193604.0,서울시 버스정류장에서는 버스가 서행하기 바란다,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193604,2022-11-25 09:55:33.0
193603.0,버스 노선도 외국어 번역,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193603,2022-11-24 20:54:45.0
193602.0,안암역 사거리 신호 체계 수정 부탁드립니다,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193602,2022-11-24 17:02:51.0
