,store,sido,gungu,store_address
802,장현점,경기도,남양주시,경기도 남양주시 진접읍 봉현로36번길 12
803,장호원점,경기도,이천시,경기도 이천시 장호원읍 샘재로147번길 26
804,장흥관산점,전라남도,장흥군,전라남도 장흥군 관산읍 관산로 119-1
805,장흥점,전라남도,장흥군,전라남도 장흥군 장흥읍 동교3길 8
806,전곡터미널점,경기도,연천군,경기도 연천군 전곡읍 온골로 56
807,전남금산점,전라남도,고흥군,전라남도 고흥군 금산면 상하촌길 24-1
808,전대리점,경기도,용인시처인구,경기도 용인시처인구 포곡읍 전대로78번길 3-1
809,전대점,광주광역시,북구,광주광역시 북구 서양로 46
810,전민점,대전광역시,유성구,"대전광역시 유성구 전민로10번길 49(전민동, 1층)"
811,전북지사, ,,
812,전하점,울산광역시,동구,울산광역시 동구 전하로 29 (전하동)
813,점동점,경기도,여주시,경기도 여주시 점동면 청안로 136
814,정관점,부산광역시,기장군,부산광역시 기장군 정관읍모전3길 37
815,정남점,경기도,화성시,경기도 화성시 정남면 괘량리 1048-3
816,정릉점,서울특별시,성북구,서울특별시 성북구 북악산로 858
817,정릉행복점,서울특별시,성북구,서울특별시 성북구 솔샘로6길 60
818,정림점,대전광역시,서구,대전광역시 서구 정림로10번길 15-24
819,정산점,충청남도,청양군,충청남도 청양군 정산면 정현길 65
820,정선점,강원도,정선군,강원도 정선군 정선읍 정선로 1352
821,정자점,경기도,성남시분당구,"경기도 성남시분당구  황새울로116번길28, 1층(정자동)"
822,정자점(수원),경기도,수원시장안구,경기도 수원시장안구 장안로 183
823,제물포점,인천광역시,미추홀구,인천광역시 미추홀구 장천로112번길 10 1층
824,제부도점,경기도,화성시,경기도 화성시 서신면 해안길 240-1
825,제주지사, ,,
826,제천역전점,충청북도,제천시,충청북도 제천시 내토로 435-1
827,조암점,경기도,화성시,경기도 화성시 우정읍 조암서로22번길 21
828,조양동점,강원도,속초시,강원도 속초시 동해대로 3998(조양동)
829,조원점,경기도,수원시장안구,경기도 수원시장안구 조원로89번길 31
830,조치원2점,세종특별자치시,조치원읍,"세종특별자치시  조치원읍 새내로 65-1, 1층"
831,조치원3점,세종특별자치시,조치원읍,세종특별자치시  조치원읍 충현로 159 욱일@상가B07호
832,종로낙원점,서울특별시,종로구,서울특별시 종로구 삼일대로 434-1
833,주곡리점,경기도,화성시,경기도 화성시 우정읍 주곡리 564-15
834,주공1점,경기도,평택시,경기도 평택시 평택2로 108 (비전동)
835,주교점,충청남도,보령시,충청남도 보령시 주교면  올레큰길 385
836,주덕점,충청북도,충주시,충청북도 충주시 주덕읍 신양로 109
837,주문진점,강원도,강릉시,강원도 강릉시  주문진읍 주문로 117
838,주안2동점,인천광역시,미추홀구,인천광역시 미추홀구 경인로326번길 49
839,주안점,인천광역시,미추홀구,인천광역시 미추홀구 염창로 84-3
840,주원점,인천광역시,미추홀구,인천광역시 미추홀구 경인로504번길 6-4
841,주천점,강원도,영월군,"강원도 영월군 주천면 주천로 88-1, 2층"
842,주촌점,경상남도,김해시,경상남도 김해시 주촌면 주선로 76
843,죽림점,경상남도,통영시,"경상남도 통영시 광도면 죽림1로 17-37, 102호(용문빌딩1층)"
844,죽변점,경상북도,울진군,경상북도 울진군 죽변면 죽변북로 59
845,죽산점,경기도,안성시,경기도 안성시 죽산면 죽주로 283
846,죽전점,경기도,용인시수지구,"경기도 용인시수지구 대지로 62, 104(죽전동)"
847,죽정점,충청남도,보령시,충청남도 보령시 현대로 9
848,줄포점,전라북도,부안군,전라북도 부안군 줄포면 줄포중앙로 63
849,중곡1점,서울특별시,광진구,"서울특별시 광진구 용마산로7길 20(중곡동, 1층)"
850,중곡2점,서울특별시,광진구,서울특별시 광진구 면목로 184 (중곡동)
851,중동1점,경기도,부천시원미구,경기도 부천시원미구 부일로 340
852,중리점(대전),대전광역시,대덕구,대전광역시 대덕구 중리남로 20
853,중마점,전라남도,광양시,전라남도 광양시 광장로 112-11
854,중문점,제주특별자치도,서귀포시,제주특별자치도 서귀포시 천제연로185번 3-1
855,중산점,경기도,고양시일산동구,경기도 고양시일산동구 탄중로 416 상가 109
856,중촌점,대전광역시,중구,대전광역시 중구 목중로39번길 21
857,중화산동점,전라북도,전주시완산구,"전라북도 전주시완산구 따박골2길 3(중화산동2가, 1층)"
858,중흥리점,충청남도,당진시,충청남도 당진시 송악읍 송악로 685
859,중흥설악점,경기도,부천시원미구,경기도 부천시원미구 계남로 196 주공상가 2층
860,증산동점,서울특별시,은평구,서울특별시 은평구 증산서길 152(증산동)
861,증평점,충청북도,증평군,충청북도 증평군 증평읍 중앙로173
862,지경리점,강원도,철원군,강원도 철원군 김화읍 청양로84
863,지곡점,충청남도,서산시,충청남도 서산시 지곡면 충의로 762-78
864,지리산온천점,전라남도,구례군,전라남도 구례군 산동면 하관1길 26
865,지원점,광주광역시,동구,광주광역시 동구 남문로 592
866,지평점,경기도,양평군,경기도 양평군 지평면 지평의병로 96
867,직산부영점,충청남도,천안시서북구,충청남도 천안시서북구 직산읍 군수1길 10 부영아파트상가 107호
868,직산점,충청남도,천안시서북구,충청남도 천안시서북구 직산읍 봉주로 23
869,진달래마을점,경기도,부천시원미구,"경기도 부천시원미구 길주로121번길 18-15, 1층 (상동, 우리프라자)"
870,진달래점,서울특별시,강남구,서울특별시 강남구 언주로 313
871,진량점,경상북도,경산시,경상북도 경산시 진량읍 황제1길 86-25 창신황제상가 203호 
872,진보점,경상북도,청송군,경상북도 청송군 진보면 진안리 384-4
873,진부점,강원도,평창군,강원도 평창군  진부면 진부중앙로 70
874,진우점,강원도,원주시,"강원도 원주시 현충로 272, 101호(태장동)"
875,진잠점,대전광역시,유성구,대전광역시 유성구 진잠로66번길 46
876,진주대곡점,경상남도,진주시,경상남도 진주시 대곡면 진의로1079번길13
877,진천대곡점,대구광역시,달서구,대구광역시 달서구 상화로21길 49
878,진천점,충청북도,진천군,"충청북도 진천군 진천읍 문화로 237-18, 101호"
