,store,si,do,address
1132,원산,전남,목포시,전남 목포시 산정동 1713-11
1133,하당,전남,목포시,전남 목포시 상동 1116-8번지
1134,남악,전남,무안군,"전남 무안군 삼향읍 남악리 1577 골든스위트 119, 120호"
1135,무안읍,전남,무안군,전남 무안군 무안읍 성남리 813-45
1136,보성,전남,보성군,전남 보성군 보성읍 보성리 831-19
1137,금당1호,전남,순천시,전남 순천시 조례동 1612번지 1-4호
1138,남부(순천),전남,순천시,전남 순천시 풍덕동 1265-5
1139,순천대점,전남,순천시,전남 순천시 석현동 80-5
1140,신대,전남,순천시,전남 순천시 해룡면 신대리 1977-8
1141,연향,전남,순천시,전남 순천시 연향동 1351-1
1142,용당서면,전남,순천시,전남 순천시 용당동 348-9
1143,조례,전남,순천시,전남 순천시 조례1동 1687-16
1144,팔마,전남,순천시,전남 순천시 연향동 1681-3   1층
1145,국동,전남,여수시,전남 여수시 신월동 96-1
1146,덕충,전남,여수시,전남 여수시 덕충동 2041
1147,돌산,전남,여수시,전남 여수시 돌산읍 우두리 1095-9
1148,둔덕,전남,여수시,전남 여수시 둔덕동 434-7
1149,문수,전남,여수시,전남 여수시 문수동 124
1150,신기,전남,여수시,전남 여수시 신기동 117-7
1151,안산,전남,여수시,전남 여수시 안산동 438-7
1152,여서,전남,여수시,전남 여수시 여서동 227-2
1153,웅천,전남,여수시,전남 여수시 웅천동 1694-1 104호
1154,죽림무선,전남,여수시,전남 여수시 소라면 죽림리 1226-3
1155,영광,전남,영광군,전남 영광군 영광읍 신하리 819-8
1156,삼호,전남,영암군,전남 영암군 삼호읍 용앙리 481
1157,완도,전남,완도군,전남 완도군 완도읍 군내리 1237-14
1158,장흥,전남,장흥군,전남 장흥군 장흥읍 건산리 736-10
1159,진도,전남,진도군,전남 진도군 진도읍 남동리 779-20
1160,함평,전남,함평군,전남 함평군 함평읍 기각리 1000-8
1161,해남,전남,해남군,전남 해남군 해남읍 구교리 304-3
1162,화순,전남,화순군,전남 화순군 화순읍 일심리 755
1163,경산,경북,경산시,경북 경산시 옥산동 758-10(1층)
1164,경산오거리,경북,경산시,경북 경산시 중방동 880-1
1165,계양사동,경북,경산시,경북 경산시 사동 48
1166,영대,경북,경산시,경북 경산시 압량면 신대리 497
1167,진량,경북,경산시,경북 경산시 진량읍 봉회리 81-3
1168,하양,경북,경산시,경북 경산시 하양읍 금락리 130-18
1169,동천(경주),경북,경주시,경북 경주시 동천동 987-44
1170,성건중앙,경북,경주시,경북 경주시 성건동 625-13
1171,안강,경북,경주시,경북 경주시 안강읍 산대리 2400-2
1172,외동(경주),경북,경주시,경북 경주시 입실리 1344-46
1173,용강(경주),경북,경주시,경북 경주시 용강동 1619
1174,충효,경북,경주시,경북 경주시 충효동 3002-1
1175,황성,경북,경주시,경북 경주시 황성동 893-3
1176,고령,경북,고령군,경북 고령군 대가야읍 지산리 3-11
1177,다산,경북,고령군,경북 고령군 다산면 상곡리 162-21
1178,도량,경북,구미시,경북 구미시 도량동 262-1
1179,문성,경북,구미시,경북 구미시 고아읍 문성리 1850
1180,봉곡,경북,구미시,경북 구미시 봉곡동 302-4
1181,산동,경북,구미시,경북 구미시 산동면 신당리 1437
